Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
2,11,Lumen Analyzes Your Breath to Help You Lose Weight | The Spoon,https://thespoon.tech/lumen-analyzes-your-breath-to-help-you-lose-weight/#,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,launched an Indiegogo campaign,16,101,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
2,1,Lumen Will Help You Lose Weight By Measuring Your Breath - Teofilo.net,https://www.teofilo.net/lumen-will-help-you-lose-weight-by-measuring-your-breath/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Launching on Indiegogo,7,83,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
2,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss - Tech Scenes,https://www.techscenes.com/startups/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,6,2625,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
2,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss - Tech Scenes,https://www.techscenes.com/startups/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,6,2625,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
2,7,Lumen Stoffwechsel-Messgerät hilft beim Abnehmen,http://www.die-smartwatch.de/2018/07/19/lumen-misst-stoffwechsel-und-hilft-bei-gewichtsabnahme.html#,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo-Kampagne,19,91,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
2,5,Lumen raises $7M and passes $1M on IndieGoGo for its breath-measuring device for weight loss.... : TechCrunch - howlDb,http://howldb.com/p/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss-0oq608,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,10,148,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
2,5,Lumen raises $7M and passes $1M on IndieGoGo for its breath-measuring device for weight loss.... : TechCrunch - howlDb,http://howldb.com/p/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss-0oq608,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,10,148,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,5,,http://forum2.hiendgear.com/cgi-bin/ultiweb.cgi?action=show_message_classic&id=84#branch,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight-apps-food#/,6,21,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,6,Lumen – уред што го подобрува метаболизмот и физичките перформанси | Бизнис Инфо,https://bi.mk/lumen-ured-shto-go-podobruva-metabolizmot-i-fizichkite-performansi/#,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,IndieGoGo,13,86,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,1,Mike Butcher | Passivetech - Part 5,http://passivetech.com/author/mike-butcher/page/5/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,90,7818,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
1,1,Mike Butcher | Passivetech - Part 5,http://passivetech.com/author/mike-butcher/page/5/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,90,7818,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss | Advice4all,https://advice4all.eu/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,138,45,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
